Origin;Destination;Number
Tverskaya;Bakinskaya;135
Tulskaya;Bakinskaya;173
Ufimskaya;Bakinskaya;262
Kharkovskaya;Bakinskaya;1118
Khersonskaya;Bakinskaya;575
Chernigovskaya;Bakinskaya;177
Estonskaya;Bakinskaya;72
Yaroslavskaya;Bakinskaya;152
Warsawskaya;Bakinskaya;172
Kaliszskaya;Bakinskaya;55
Kieleckaya;Bakinskaya;42
Lomzinskaya;Bakinskaya;48
Lublinskaya;Bakinskaya;148
Piotrkovskaya;Bakinskaya;155
Plockaya;Bakinskaya;52
Radomskaya;Bakinskaya;86
Suwalkskaya;Bakinskaya;308
Siedlcskaya;Bakinskaya;84
Dagestanskaya;Bakinskaya;10405
Elisabethpolskaya;Bakinskaya;13272
Karsskaya;Bakinskaya;127
Kubanskaya;Bakinskaya;1240
Kutaisskaya;Bakinskaya;971
Stavropolskaya;Bakinskaya;758
Terskaya;Bakinskaya;825
Tiflisskaya;Bakinskaya;3247
Cernomorskaya;Bakinskaya;51
Erevanskaya;Bakinskaya;1725
Amurskaya;Bakinskaya;4
Eniseiskaya;Bakinskaya;40
Zabaikalskaya;Bakinskaya;12
Irkutskaya;Bakinskaya;29
Primorskaya;Bakinskaya;23
Sakhalin;Bakinskaya;0
Tobolskaya;Bakinskaya;22
Tomskaya;Bakinskaya;26
Yakutskaya;Bakinskaya;4
Akmolinskaya;Bakinskaya;38
Zakaspiyskaya;Bakinskaya;87
Samarkandskaya;Bakinskaya;12
Semipalatinskaya;Bakinskaya;7
Semirechenskaya;Bakinskaya;9
SyrDaryinskaya;Bakinskaya;25
Turgayskaya;Bakinskaya;3
Uralskaya;Bakinskaya;22
Ferganskaya;Bakinskaya;20
Arkhangelskaya;Bessarabskaya;26
Astrakhanskaya;Bessarabskaya;36
Vilenskaya;Bessarabskaya;792
Vitebskaya;Bessarabskaya;293
Vladimirskaya;Bessarabskaya;260
Vologodskaya;Bessarabskaya;84
Volhynskaya;Bessarabskaya;6098
Voronezhskaya;Bessarabskaya;1701
Viatskaya;Bessarabskaya;123
Grodnenskaya;Bessarabskaya;2143
VojskaDonskogo;Bessarabskaya;544
Ekaterinoslavskaya;Bessarabskaya;974
Kazanskaya;Bessarabskaya;477
Kalugskaya;Bessarabskaya;713
Kievskaya;Bessarabskaya;6373
Kovenskaya;Bessarabskaya;570
Kostromskaya;Bessarabskaya;55
Kurlandskaya;Bessarabskaya;145
Kurskaya;Bessarabskaya;1052
Liflyandskaya;Bessarabskaya;197
Minskaya;Bessarabskaya;1120
Mogilevskaya;Bessarabskaya;896
Moscowskaya;Bessarabskaya;436
Nizhegorodskaya;Bessarabskaya;113
Novgorodskaya;Bessarabskaya;119
Olonetskaya;Bessarabskaya;42
Orenburgskaya;Bessarabskaya;119
Orlovskaya;Bessarabskaya;1161
Penzenskaya;Bessarabskaya;170
Permskaya;Bessarabskaya;273
Podolskaya;Bessarabskaya;41792
Poltavskaya;Bessarabskaya;1668
Pskovskaya;Bessarabskaya;43
Ryazanskaya;Bessarabskaya;420
Samaraskaya;Bessarabskaya;2240
StPetersburgskaya;Bessarabskaya;433
Saratovskaya;Bessarabskaya;181
Simbirskaya;Bessarabskaya;815
Smolenskaya;Bessarabskaya;299
Tauridskaya;Bessarabskaya;1913
Tambovskaya;Bessarabskaya;691
Tverskaya;Bessarabskaya;182
Tulskaya;Bessarabskaya;340
Ufimskaya;Bessarabskaya;141
Kharkovskaya;Bessarabskaya;646
Khersonskaya;Bessarabskaya;21188
Chernigovskaya;Bessarabskaya;2447
Estonskaya;Bessarabskaya;33
Yaroslavskaya;Bessarabskaya;102
Warsawskaya;Bessarabskaya;2119
Kaliszskaya;Bessarabskaya;168
Kieleckaya;Bessarabskaya;281
Lomzinskaya;Bessarabskaya;132
Lublinskaya;Bessarabskaya;1779
Piotrkovskaya;Bessarabskaya;202
Plockaya;Bessarabskaya;99
Radomskaya;Bessarabskaya;247
Suwalkskaya;Bessarabskaya;200
Siedlcskaya;Bessarabskaya;190
Bakinskaya;Bessarabskaya;41
Dagestanskaya;Bessarabskaya;18
Elisabethpolskaya;Bessarabskaya;8
Karsskaya;Bessarabskaya;5
Kubanskaya;Bessarabskaya;190
Kutaisskaya;Bessarabskaya;33
Stavropolskaya;Bessarabskaya;30
Terskaya;Bessarabskaya;944
Tiflisskaya;Bessarabskaya;70
Cernomorskaya;Bessarabskaya;11
Erevanskaya;Bessarabskaya;23
Amurskaya;Bessarabskaya;3
Eniseiskaya;Bessarabskaya;19
Zabaikalskaya;Bessarabskaya;10
Irkutskaya;Bessarabskaya;25
