Origin;Destination;Number
Permskaya;Podolskaya;86
Poltavskaya;Podolskaya;4785
Pskovskaya;Podolskaya;324
Ryazanskaya;Podolskaya;349
Samaraskaya;Podolskaya;939
StPetersburgskaya;Podolskaya;626
Saratovskaya;Podolskaya;207
Simbirskaya;Podolskaya;113
Smolenskaya;Podolskaya;337
Tauridskaya;Podolskaya;355
Tambovskaya;Podolskaya;686
Tverskaya;Podolskaya;193
Tulskaya;Podolskaya;3831
Ufimskaya;Podolskaya;3550
Kharkovskaya;Podolskaya;1164
Khersonskaya;Podolskaya;10147
Chernigovskaya;Podolskaya;3361
Estonskaya;Podolskaya;51
Yaroslavskaya;Podolskaya;128
Warsawskaya;Podolskaya;1363
Kaliszskaya;Podolskaya;301
Kieleckaya;Podolskaya;399
Lomzinskaya;Podolskaya;282
Lublinskaya;Podolskaya;815
Piotrkovskaya;Podolskaya;276
Plockaya;Podolskaya;232
Radomskaya;Podolskaya;309
Suwalkskaya;Podolskaya;277
Siedlcskaya;Podolskaya;375
Bakinskaya;Podolskaya;26
Dagestanskaya;Podolskaya;25
Elisabethpolskaya;Podolskaya;10
Karsskaya;Podolskaya;5
Kubanskaya;Podolskaya;939
Kutaisskaya;Podolskaya;22
Stavropolskaya;Podolskaya;95
Terskaya;Podolskaya;100
Tiflisskaya;Podolskaya;80
Cernomorskaya;Podolskaya;13
Erevanskaya;Podolskaya;14
Amurskaya;Podolskaya;4
Eniseiskaya;Podolskaya;15
Zabaikalskaya;Podolskaya;10
Irkutskaya;Podolskaya;19
Primorskaya;Podolskaya;18
Sakhalin;Podolskaya;0
Tobolskaya;Podolskaya;92
Tomskaya;Podolskaya;25
Yakutskaya;Podolskaya;3
Akmolinskaya;Podolskaya;7
Zakaspiyskaya;Podolskaya;9
Samarkandskaya;Podolskaya;1
Semipalatinskaya;Podolskaya;5
Semirechenskaya;Podolskaya;2
SyrDaryinskaya;Podolskaya;6
Turgayskaya;Podolskaya;2
Uralskaya;Podolskaya;3
Ferganskaya;Podolskaya;6
Arkhangelskaya;Poltavskaya;38
Astrakhanskaya;Poltavskaya;36
Bessarabskaya;Poltavskaya;412
Vilenskaya;Poltavskaya;1769
Vitebskaya;Poltavskaya;1077
Vladimirskaya;Poltavskaya;363
Vologodskaya;Poltavskaya;70
Volhynskaya;Poltavskaya;1383
Voronezhskaya;Poltavskaya;660
Viatskaya;Poltavskaya;170
Grodnenskaya;Poltavskaya;976
VojskaDonskogo;Poltavskaya;555
Ekaterinoslavskaya;Poltavskaya;5987
Kazanskaya;Poltavskaya;98
Kalugskaya;Poltavskaya;1877
Kievskaya;Poltavskaya;12624
Kovenskaya;Poltavskaya;1089
Kostromskaya;Poltavskaya;132
Kurlandskaya;Poltavskaya;325
Kurskaya;Poltavskaya;5438
Liflyandskaya;Poltavskaya;267
Minskaya;Poltavskaya;4350
Mogilevskaya;Poltavskaya;3839
Moscowskaya;Poltavskaya;915
Nizhegorodskaya;Poltavskaya;116
Novgorodskaya;Poltavskaya;121
Olonetskaya;Poltavskaya;25
Orenburgskaya;Poltavskaya;557
Orlovskaya;Poltavskaya;1744
Penzenskaya;Poltavskaya;216
Permskaya;Poltavskaya;915
Podolskaya;Poltavskaya;1974
Pskovskaya;Poltavskaya;101
Ryazanskaya;Poltavskaya;348
Samaraskaya;Poltavskaya;507
StPetersburgskaya;Poltavskaya;763
Saratovskaya;Poltavskaya;181
Simbirskaya;Poltavskaya;485
Smolenskaya;Poltavskaya;581
Tauridskaya;Poltavskaya;2654
Tambovskaya;Poltavskaya;395
Tverskaya;Poltavskaya;304
Tulskaya;Poltavskaya;690
Ufimskaya;Poltavskaya;448
Kharkovskaya;Poltavskaya;10096
Khersonskaya;Poltavskaya;6557
Chernigovskaya;Poltavskaya;14838
Estonskaya;Poltavskaya;57
Yaroslavskaya;Poltavskaya;157
Warsawskaya;Poltavskaya;664
Kaliszskaya;Poltavskaya;64
Kieleckaya;Poltavskaya;1365
Lomzinskaya;Poltavskaya;90
Lublinskaya;Poltavskaya;260
Piotrkovskaya;Poltavskaya;116
Plockaya;Poltavskaya;88
Radomskaya;Poltavskaya;213
Suwalkskaya;Poltavskaya;189
Siedlcskaya;Poltavskaya;80
Bakinskaya;Poltavskaya;30
Dagestanskaya;Poltavskaya;44
Elisabethpolskaya;Poltavskaya;12
Karsskaya;Poltavskaya;5
Kubanskaya;Poltavskaya;322
Kutaisskaya;Poltavskaya;24
Stavropolskaya;Poltavskaya;266
Terskaya;Poltavskaya;108
Tiflisskaya;Poltavskaya;96
Cernomorskaya;Poltavskaya;12
Erevanskaya;Poltavskaya;17
Amurskaya;Poltavskaya;14
Eniseiskaya;Poltavskaya;44
Zabaikalskaya;Poltavskaya;6
Irkutskaya;Poltavskaya;27
Primorskaya;Poltavskaya;7
Sakhalin;Poltavskaya;3
Tobolskaya;Poltavskaya;85
Tomskaya;Poltavskaya;61
Yakutskaya;Poltavskaya;14
Akmolinskaya;Poltavskaya;17
Zakaspiyskaya;Poltavskaya;6
Samarkandskaya;Poltavskaya;3
Semipalatinskaya;Poltavskaya;5
Semirechenskaya;Poltavskaya;3
SyrDaryinskaya;Poltavskaya;16
Turgayskaya;Poltavskaya;0
Uralskaya;Poltavskaya;4
Ferganskaya;Poltavskaya;0
Arkhangelskaya;Primorskaya;73
Astrakhanskaya;Primorskaya;771
Bessarabskaya;Primorskaya;146
Vilenskaya;Primorskaya;252
Vitebskaya;Primorskaya;201
Vladimirskaya;Primorskaya;616
Vologodskaya;Primorskaya;264
Volhynskaya;Primorskaya;1074
Voronezhskaya;Primorskaya;948
Viatskaya;Primorskaya;1625
Grodnenskaya;Primorskaya;429
VojskaDonskogo;Primorskaya;1824
Ekaterinoslavskaya;Primorskaya;816
Kazanskaya;Primorskaya;1063
Kalugskaya;Primorskaya;811
Kievskaya;Primorskaya;912
Kovenskaya;Primorskaya;728
Kostromskaya;Primorskaya;191
Kurlandskaya;Primorskaya;112
Kurskaya;Primorskaya;1978
Liflyandskaya;Primorskaya;234
Minskaya;Primorskaya;977
Mogilevskaya;Primorskaya;292
Moscowskaya;Primorskaya;385
Nizhegorodskaya;Primorskaya;462
Novgorodskaya;Primorskaya;207
Olonetskaya;Primorskaya;39
Orenburgskaya;Primorskaya;957
Orlovskaya;Primorskaya;1148
Penzenskaya;Primorskaya;815
Permskaya;Primorskaya;1895
Podolskaya;Primorskaya;957
Poltavskaya;Primorskaya;8025
Pskovskaya;Primorskaya;208
Ryazanskaya;Primorskaya;886
Samaraskaya;Primorskaya;644
StPetersburgskaya;Primorskaya;726
Saratovskaya;Primorskaya;1139
Simbirskaya;Primorskaya;609
Smolenskaya;Primorskaya;276
Tauridskaya;Primorskaya;297
Tambovskaya;Primorskaya;1427
Tverskaya;Primorskaya;291
Tulskaya;Primorskaya;905
Ufimskaya;Primorskaya;283
Kharkovskaya;Primorskaya;773
Khersonskaya;Primorskaya;1037
Chernigovskaya;Primorskaya;15592
Estonskaya;Primorskaya;82
Yaroslavskaya;Primorskaya;214
Warsawskaya;Primorskaya;487
Kaliszskaya;Primorskaya;128
Kieleckaya;Primorskaya;67
Lomzinskaya;Primorskaya;240
Lublinskaya;Primorskaya;277
Piotrkovskaya;Primorskaya;478
Plockaya;Primorskaya;83
Radomskaya;Primorskaya;437
Suwalkskaya;Primorskaya;95
Siedlcskaya;Primorskaya;446
Bakinskaya;Primorskaya;88
Dagestanskaya;Primorskaya;33
Elisabethpolskaya;Primorskaya;56
Karsskaya;Primorskaya;20
Kubanskaya;Primorskaya;203
Kutaisskaya;Primorskaya;67
Stavropolskaya;Primorskaya;64
Terskaya;Primorskaya;76
Tiflisskaya;Primorskaya;259
Cernomorskaya;Primorskaya;17
Erevanskaya;Primorskaya;38
Amurskaya;Primorskaya;1211
Eniseiskaya;Primorskaya;688
Zabaikalskaya;Primorskaya;4895
Irkutskaya;Primorskaya;2093
Sakhalin;Primorskaya;661
Tobolskaya;Primorskaya;8193
Tomskaya;Primorskaya;8133
Yakutskaya;Primorskaya;409
Akmolinskaya;Primorskaya;296
Zakaspiyskaya;Primorskaya;30
Samarkandskaya;Primorskaya;11
Semipalatinskaya;Primorskaya;63
Semirechenskaya;Primorskaya;53
SyrDaryinskaya;Primorskaya;36
Turgayskaya;Primorskaya;2
Uralskaya;Primorskaya;20
Ferganskaya;Primorskaya;16
Arkhangelskaya;Pskovskaya;162
Astrakhanskaya;Pskovskaya;28
Bessarabskaya;Pskovskaya;49
Vilenskaya;Pskovskaya;798
Vitebskaya;Pskovskaya;10532
Vladimirskaya;Pskovskaya;223
Vologodskaya;Pskovskaya;119
Volhynskaya;Pskovskaya;91
Voronezhskaya;Pskovskaya;57
Viatskaya;Pskovskaya;21
Grodnenskaya;Pskovskaya;212
VojskaDonskogo;Pskovskaya;25
Ekaterinoslavskaya;Pskovskaya;31
Kazanskaya;Pskovskaya;41
Kalugskaya;Pskovskaya;167
Kievskaya;Pskovskaya;116
Kovenskaya;Pskovskaya;970
Kostromskaya;Pskovskaya;147
Kurlandskaya;Pskovskaya;771
Kurskaya;Pskovskaya;92
Liflyandskaya;Pskovskaya;16555
Minskaya;Pskovskaya;248
Mogilevskaya;Pskovskaya;356
Moscowskaya;Pskovskaya;282
Nizhegorodskaya;Pskovskaya;77
Novgorodskaya;Pskovskaya;4192
Olonetskaya;Pskovskaya;253
Orenburgskaya;Pskovskaya;37
Orlovskaya;Pskovskaya;118
Penzenskaya;Pskovskaya;37
Permskaya;Pskovskaya;35
Podolskaya;Pskovskaya;51
Poltavskaya;Pskovskaya;87
Ryazanskaya;Pskovskaya;133
Samaraskaya;Pskovskaya;49
StPetersburgskaya;Pskovskaya;5931
Saratovskaya;Pskovskaya;70
Simbirskaya;Pskovskaya;35
Smolenskaya;Pskovskaya;2241
Tauridskaya;Pskovskaya;43
Tambovskaya;Pskovskaya;100
Tverskaya;Pskovskaya;1426
Tulskaya;Pskovskaya;103
Ufimskaya;Pskovskaya;16
Kharkovskaya;Pskovskaya;115
Khersonskaya;Pskovskaya;55
Chernigovskaya;Pskovskaya;111
Estonskaya;Pskovskaya;357
Yaroslavskaya;Pskovskaya;300
Warsawskaya;Pskovskaya;421
Kaliszskaya;Pskovskaya;34
Kieleckaya;Pskovskaya;23
Lomzinskaya;Pskovskaya;886
Lublinskaya;Pskovskaya;64
Piotrkovskaya;Pskovskaya;25
Plockaya;Pskovskaya;45
Radomskaya;Pskovskaya;46
Suwalkskaya;Pskovskaya;198
Siedlcskaya;Pskovskaya;43
Bakinskaya;Pskovskaya;6
Dagestanskaya;Pskovskaya;5
Elisabethpolskaya;Pskovskaya;3
Karsskaya;Pskovskaya;2
Kubanskaya;Pskovskaya;8
Kutaisskaya;Pskovskaya;1
Stavropolskaya;Pskovskaya;10
Terskaya;Pskovskaya;13
Tiflisskaya;Pskovskaya;30
Cernomorskaya;Pskovskaya;1
Erevanskaya;Pskovskaya;1
Amurskaya;Pskovskaya;3
Eniseiskaya;Pskovskaya;7
Zabaikalskaya;Pskovskaya;1
Irkutskaya;Pskovskaya;7
Primorskaya;Pskovskaya;3
Sakhalin;Pskovskaya;0
Tobolskaya;Pskovskaya;6
Tomskaya;Pskovskaya;14
Yakutskaya;Pskovskaya;3
Akmolinskaya;Pskovskaya;13
Zakaspiyskaya;Pskovskaya;1
Samarkandskaya;Pskovskaya;4
Semipalatinskaya;Pskovskaya;3
Semirechenskaya;Pskovskaya;1
SyrDaryinskaya;Pskovskaya;9
Turgayskaya;Pskovskaya;0
Uralskaya;Pskovskaya;0
Ferganskaya;Pskovskaya;0
Arkhangelskaya;Radomskaya;11
Astrakhanskaya;Radomskaya;5
Bessarabskaya;Radomskaya;1794
Vilenskaya;Radomskaya;91
Vitebskaya;Radomskaya;127
Vladimirskaya;Radomskaya;82
Vologodskaya;Radomskaya;35
Volhynskaya;Radomskaya;313
Voronezhskaya;Radomskaya;69
Viatskaya;Radomskaya;61
Grodnenskaya;Radomskaya;492
VojskaDonskogo;Radomskaya;33
Ekaterinoslavskaya;Radomskaya;35
Kazanskaya;Radomskaya;61
Kalugskaya;Radomskaya;4160
Kievskaya;Radomskaya;1474
Kovenskaya;Radomskaya;92
Kostromskaya;Radomskaya;24
Kurlandskaya;Radomskaya;40
Kurskaya;Radomskaya;48
Liflyandskaya;Radomskaya;52
Minskaya;Radomskaya;137
Mogilevskaya;Radomskaya;71
Moscowskaya;Radomskaya;213
Nizhegorodskaya;Radomskaya;79
Novgorodskaya;Radomskaya;27
Olonetskaya;Radomskaya;3
Orenburgskaya;Radomskaya;12
Orlovskaya;Radomskaya;253
Penzenskaya;Radomskaya;51
Permskaya;Radomskaya;37
Podolskaya;Radomskaya;127
Poltavskaya;Radomskaya;256
Pskovskaya;Radomskaya;50
Ryazanskaya;Radomskaya;69
Samaraskaya;Radomskaya;25
StPetersburgskaya;Radomskaya;192
Saratovskaya;Radomskaya;233
Simbirskaya;Radomskaya;26
Smolenskaya;Radomskaya;51
Tauridskaya;Radomskaya;25
Tambovskaya;Radomskaya;449
Tverskaya;Radomskaya;39
Tulskaya;Radomskaya;179
Ufimskaya;Radomskaya;27
Kharkovskaya;Radomskaya;157
Khersonskaya;Radomskaya;209
Chernigovskaya;Radomskaya;302
Estonskaya;Radomskaya;35
Yaroslavskaya;Radomskaya;83
Warsawskaya;Radomskaya;8867
Kaliszskaya;Radomskaya;1104
Kieleckaya;Radomskaya;10250
Lomzinskaya;Radomskaya;396
Lublinskaya;Radomskaya;5236
Piotrkovskaya;Radomskaya;6400
Plockaya;Radomskaya;689
Suwalkskaya;Radomskaya;246
Siedlcskaya;Radomskaya;2442
Bakinskaya;Radomskaya;14
Dagestanskaya;Radomskaya;7
Elisabethpolskaya;Radomskaya;17
Karsskaya;Radomskaya;3
Kubanskaya;Radomskaya;4
Kutaisskaya;Radomskaya;9
Stavropolskaya;Radomskaya;10
Terskaya;Radomskaya;10
Tiflisskaya;Radomskaya;19
Cernomorskaya;Radomskaya;2
Erevanskaya;Radomskaya;1
Amurskaya;Radomskaya;0
Eniseiskaya;Radomskaya;7
Zabaikalskaya;Radomskaya;7
Irkutskaya;Radomskaya;4
Primorskaya;Radomskaya;3
Sakhalin;Radomskaya;0
Tobolskaya;Radomskaya;10
Tomskaya;Radomskaya;10
Yakutskaya;Radomskaya;2
Akmolinskaya;Radomskaya;7
Zakaspiyskaya;Radomskaya;2
Samarkandskaya;Radomskaya;0
Semipalatinskaya;Radomskaya;1
Semirechenskaya;Radomskaya;0
SyrDaryinskaya;Radomskaya;3
Turgayskaya;Radomskaya;0
Uralskaya;Radomskaya;2
Ferganskaya;Radomskaya;3
Arkhangelskaya;Ryazanskaya;61
Astrakhanskaya;Ryazanskaya;177
Bessarabskaya;Ryazanskaya;43
Vilenskaya;Ryazanskaya;162
Vitebskaya;Ryazanskaya;232
Vladimirskaya;Ryazanskaya;3517
Vologodskaya;Ryazanskaya;479
Volhynskaya;Ryazanskaya;196
Voronezhskaya;Ryazanskaya;643
Viatskaya;Ryazanskaya;1801
Grodnenskaya;Ryazanskaya;250
VojskaDonskogo;Ryazanskaya;543
Ekaterinoslavskaya;Ryazanskaya;142
Kazanskaya;Ryazanskaya;241
Kalugskaya;Ryazanskaya;845
Kievskaya;Ryazanskaya;209
Kovenskaya;Ryazanskaya;206
Kostromskaya;Ryazanskaya;522
Kurlandskaya;Ryazanskaya;94
Kurskaya;Ryazanskaya;1196
Liflyandskaya;Ryazanskaya;193
Minskaya;Ryazanskaya;216
Mogilevskaya;Ryazanskaya;297
Moscowskaya;Ryazanskaya;9614
Nizhegorodskaya;Ryazanskaya;562
Novgorodskaya;Ryazanskaya;238
Olonetskaya;Ryazanskaya;43
Orenburgskaya;Ryazanskaya;434
Orlovskaya;Ryazanskaya;840
Penzenskaya;Ryazanskaya;685
Permskaya;Ryazanskaya;1264
Podolskaya;Ryazanskaya;131
Poltavskaya;Ryazanskaya;166
Pskovskaya;Ryazanskaya;83
Samaraskaya;Ryazanskaya;435
StPetersburgskaya;Ryazanskaya;2092
Saratovskaya;Ryazanskaya;604
Simbirskaya;Ryazanskaya;248
Smolenskaya;Ryazanskaya;552
Tauridskaya;Ryazanskaya;134
Tambovskaya;Ryazanskaya;9094
Tverskaya;Ryazanskaya;946
Tulskaya;Ryazanskaya;5513
Ufimskaya;Ryazanskaya;101
Kharkovskaya;Ryazanskaya;1678
Khersonskaya;Ryazanskaya;196
Chernigovskaya;Ryazanskaya;182
Estonskaya;Ryazanskaya;56
Yaroslavskaya;Ryazanskaya;670
Warsawskaya;Ryazanskaya;159
Kaliszskaya;Ryazanskaya;31
Kieleckaya;Ryazanskaya;27
Lomzinskaya;Ryazanskaya;35
Lublinskaya;Ryazanskaya;64
Piotrkovskaya;Ryazanskaya;47
Plockaya;Ryazanskaya;39
Radomskaya;Ryazanskaya;36
Suwalkskaya;Ryazanskaya;69
Siedlcskaya;Ryazanskaya;2008
Bakinskaya;Ryazanskaya;100
Dagestanskaya;Ryazanskaya;25
Elisabethpolskaya;Ryazanskaya;13
Karsskaya;Ryazanskaya;15
Kubanskaya;Ryazanskaya;115
Kutaisskaya;Ryazanskaya;24
Stavropolskaya;Ryazanskaya;106
Terskaya;Ryazanskaya;68
Tiflisskaya;Ryazanskaya;57
Cernomorskaya;Ryazanskaya;1
Erevanskaya;Ryazanskaya;5
Amurskaya;Ryazanskaya;4
Eniseiskaya;Ryazanskaya;14
Zabaikalskaya;Ryazanskaya;5
Irkutskaya;Ryazanskaya;8
Primorskaya;Ryazanskaya;9
Sakhalin;Ryazanskaya;0
Tobolskaya;Ryazanskaya;51
Tomskaya;Ryazanskaya;48
Yakutskaya;Ryazanskaya;3
Akmolinskaya;Ryazanskaya;23
Zakaspiyskaya;Ryazanskaya;5
Samarkandskaya;Ryazanskaya;0
Semipalatinskaya;Ryazanskaya;4
Semirechenskaya;Ryazanskaya;6
SyrDaryinskaya;Ryazanskaya;3
Turgayskaya;Ryazanskaya;2
Uralskaya;Ryazanskaya;13
Ferganskaya;Ryazanskaya;3
Arkhangelskaya;Sakhalin;51
Astrakhanskaya;Sakhalin;104
Bessarabskaya;Sakhalin;245
Vilenskaya;Sakhalin;246
Vitebskaya;Sakhalin;249
Vladimirskaya;Sakhalin;302
Vologodskaya;Sakhalin;260
Volhynskaya;Sakhalin;413
Voronezhskaya;Sakhalin;392
Viatskaya;Sakhalin;351
Grodnenskaya;Sakhalin;187
VojskaDonskogo;Sakhalin;351
Ekaterinoslavskaya;Sakhalin;304
Kazanskaya;Sakhalin;276
Kalugskaya;Sakhalin;256
Kievskaya;Sakhalin;593
Kovenskaya;Sakhalin;217
Kostromskaya;Sakhalin;210
Kurlandskaya;Sakhalin;93
Kurskaya;Sakhalin;460
Liflyandskaya;Sakhalin;169
Minskaya;Sakhalin;270
Mogilevskaya;Sakhalin;141
Moscowskaya;Sakhalin;284
Nizhegorodskaya;Sakhalin;376
Novgorodskaya;Sakhalin;246
Olonetskaya;Sakhalin;43
Orenburgskaya;Sakhalin;272
Orlovskaya;Sakhalin;346
Penzenskaya;Sakhalin;422
Permskaya;Sakhalin;613
Podolskaya;Sakhalin;373
Poltavskaya;Sakhalin;496
Pskovskaya;Sakhalin;248
Ryazanskaya;Sakhalin;334
Samaraskaya;Sakhalin;454
StPetersburgskaya;Sakhalin;197
Saratovskaya;Sakhalin;445
Simbirskaya;Sakhalin;247
Smolenskaya;Sakhalin;197
Tauridskaya;Sakhalin;186
Tambovskaya;Sakhalin;630
Tverskaya;Sakhalin;367
Tulskaya;Sakhalin;272
Ufimskaya;Sakhalin;308
Kharkovskaya;Sakhalin;394
Khersonskaya;Sakhalin;406
Chernigovskaya;Sakhalin;450
Estonskaya;Sakhalin;85
Yaroslavskaya;Sakhalin;206
Warsawskaya;Sakhalin;214
Kaliszskaya;Sakhalin;126
Kieleckaya;Sakhalin;94
Lomzinskaya;Sakhalin;60
Lublinskaya;Sakhalin;84
Piotrkovskaya;Sakhalin;201
Plockaya;Sakhalin;36
Radomskaya;Sakhalin;127
Suwalkskaya;Sakhalin;103
Siedlcskaya;Sakhalin;98
Bakinskaya;Sakhalin;271
Dagestanskaya;Sakhalin;50
Elisabethpolskaya;Sakhalin;252
Karsskaya;Sakhalin;26
Kubanskaya;Sakhalin;214
Kutaisskaya;Sakhalin;117
Stavropolskaya;Sakhalin;116
Terskaya;Sakhalin;148
Tiflisskaya;Sakhalin;172
Cernomorskaya;Sakhalin;2
Erevanskaya;Sakhalin;168
Amurskaya;Sakhalin;47
Eniseiskaya;Sakhalin;90
Zabaikalskaya;Sakhalin;337
Irkutskaya;Sakhalin;153
Primorskaya;Sakhalin;112
Tobolskaya;Sakhalin;329
Tomskaya;Sakhalin;490
Yakutskaya;Sakhalin;15
Akmolinskaya;Sakhalin;22
Zakaspiyskaya;Sakhalin;5
Samarkandskaya;Sakhalin;32
Semipalatinskaya;Sakhalin;9
Semirechenskaya;Sakhalin;16
SyrDaryinskaya;Sakhalin;57
Turgayskaya;Sakhalin;8
Uralskaya;Sakhalin;15
Ferganskaya;Sakhalin;23
Arkhangelskaya;Samaraskaya;92
Astrakhanskaya;Samaraskaya;7021
Bessarabskaya;Samaraskaya;101
Vilenskaya;Samaraskaya;713
Vitebskaya;Samaraskaya;460
Vladimirskaya;Samaraskaya;5856
Vologodskaya;Samaraskaya;309
Volhynskaya;Samaraskaya;317
Voronezhskaya;Samaraskaya;2347
Viatskaya;Samaraskaya;2767
Grodnenskaya;Samaraskaya;300
VojskaDonskogo;Samaraskaya;741
Ekaterinoslavskaya;Samaraskaya;699
Kazanskaya;Samaraskaya;23400
Kalugskaya;Samaraskaya;1137
Kievskaya;Samaraskaya;1059
Kovenskaya;Samaraskaya;609
Kostromskaya;Samaraskaya;1357
Kurlandskaya;Samaraskaya;385
Kurskaya;Samaraskaya;8288
Liflyandskaya;Samaraskaya;817
Minskaya;Samaraskaya;368
Mogilevskaya;Samaraskaya;467
Moscowskaya;Samaraskaya;1258
Nizhegorodskaya;Samaraskaya;8480
Novgorodskaya;Samaraskaya;488
Olonetskaya;Samaraskaya;104
Orenburgskaya;Samaraskaya;4889
Orlovskaya;Samaraskaya;4084
Penzenskaya;Samaraskaya;23623
Permskaya;Samaraskaya;736
Podolskaya;Samaraskaya;804
Poltavskaya;Samaraskaya;3743
Pskovskaya;Samaraskaya;294
Ryazanskaya;Samaraskaya;6526
StPetersburgskaya;Samaraskaya;1026
Saratovskaya;Samaraskaya;40828
Simbirskaya;Samaraskaya;41990
Smolenskaya;Samaraskaya;1123
Tauridskaya;Samaraskaya;2315
Tambovskaya;Samaraskaya;11012
Tverskaya;Samaraskaya;1055
Tulskaya;Samaraskaya;4766
Ufimskaya;Samaraskaya;9083
Kharkovskaya;Samaraskaya;1529
Khersonskaya;Samaraskaya;634
Chernigovskaya;Samaraskaya;2705
Estonskaya;Samaraskaya;303
Yaroslavskaya;Samaraskaya;583
Warsawskaya;Samaraskaya;319
Kaliszskaya;Samaraskaya;101
Kieleckaya;Samaraskaya;33
Lomzinskaya;Samaraskaya;124
Lublinskaya;Samaraskaya;164
Piotrkovskaya;Samaraskaya;644
Plockaya;Samaraskaya;49
Radomskaya;Samaraskaya;110
Suwalkskaya;Samaraskaya;58
Siedlcskaya;Samaraskaya;55
Bakinskaya;Samaraskaya;149
Dagestanskaya;Samaraskaya;132
Elisabethpolskaya;Samaraskaya;30
Karsskaya;Samaraskaya;5
Kubanskaya;Samaraskaya;308
Kutaisskaya;Samaraskaya;31
Stavropolskaya;Samaraskaya;232
Terskaya;Samaraskaya;189
Tiflisskaya;Samaraskaya;148
Cernomorskaya;Samaraskaya;18
Erevanskaya;Samaraskaya;26
Amurskaya;Samaraskaya;5
Eniseiskaya;Samaraskaya;83
Zabaikalskaya;Samaraskaya;15
Irkutskaya;Samaraskaya;29
Primorskaya;Samaraskaya;18
Sakhalin;Samaraskaya;1
Tobolskaya;Samaraskaya;259
Tomskaya;Samaraskaya;139
Yakutskaya;Samaraskaya;6
Akmolinskaya;Samaraskaya;112
Zakaspiyskaya;Samaraskaya;52
Samarkandskaya;Samaraskaya;94
Semipalatinskaya;Samaraskaya;15
Semirechenskaya;Samaraskaya;25
SyrDaryinskaya;Samaraskaya;359
Turgayskaya;Samaraskaya;40
Uralskaya;Samaraskaya;3178
Ferganskaya;Samaraskaya;15
Arkhangelskaya;Samarkandskaya;6
Astrakhanskaya;Samarkandskaya;156
Bessarabskaya;Samarkandskaya;44
Vilenskaya;Samarkandskaya;51
Vitebskaya;Samarkandskaya;42
Vladimirskaya;Samarkandskaya;119
Vologodskaya;Samarkandskaya;23
Volhynskaya;Samarkandskaya;263
Voronezhskaya;Samarkandskaya;811
Viatskaya;Samarkandskaya;179
Grodnenskaya;Samarkandskaya;206
VojskaDonskogo;Samarkandskaya;88
Ekaterinoslavskaya;Samarkandskaya;82
Kazanskaya;Samarkandskaya;190
Kalugskaya;Samarkandskaya;77
Kievskaya;Samarkandskaya;445
Kovenskaya;Samarkandskaya;54
Kostromskaya;Samarkandskaya;35
Kurlandskaya;Samarkandskaya;23
Kurskaya;Samarkandskaya;87
Liflyandskaya;Samarkandskaya;42
Minskaya;Samarkandskaya;65
Mogilevskaya;Samarkandskaya;47
Moscowskaya;Samarkandskaya;129
Nizhegorodskaya;Samarkandskaya;205
Novgorodskaya;Samarkandskaya;39
Olonetskaya;Samarkandskaya;5
Orenburgskaya;Samarkandskaya;934
Orlovskaya;Samarkandskaya;86
Penzenskaya;Samarkandskaya;214
Permskaya;Samarkandskaya;879
Podolskaya;Samarkandskaya;688
Poltavskaya;Samarkandskaya;262
Pskovskaya;Samarkandskaya;17
Ryazanskaya;Samarkandskaya;111
Samaraskaya;Samarkandskaya;1049
StPetersburgskaya;Samarkandskaya;127
Saratovskaya;Samarkandskaya;2142
Simbirskaya;Samarkandskaya;289
Smolenskaya;Samarkandskaya;103
Tauridskaya;Samarkandskaya;34
Tambovskaya;Samarkandskaya;320
Tverskaya;Samarkandskaya;40
Tulskaya;Samarkandskaya;44
Ufimskaya;Samarkandskaya;98
Kharkovskaya;Samarkandskaya;439
Khersonskaya;Samarkandskaya;107
Chernigovskaya;Samarkandskaya;59
Estonskaya;Samarkandskaya;10
Yaroslavskaya;Samarkandskaya;14
Warsawskaya;Samarkandskaya;55
Kaliszskaya;Samarkandskaya;260
Kieleckaya;Samarkandskaya;326
Lomzinskaya;Samarkandskaya;6
Lublinskaya;Samarkandskaya;17
Piotrkovskaya;Samarkandskaya;983
Plockaya;Samarkandskaya;14
Radomskaya;Samarkandskaya;20
Suwalkskaya;Samarkandskaya;11
Siedlcskaya;Samarkandskaya;29
Bakinskaya;Samarkandskaya;97
Dagestanskaya;Samarkandskaya;121
Elisabethpolskaya;Samarkandskaya;270
Karsskaya;Samarkandskaya;20
Kubanskaya;Samarkandskaya;31
Kutaisskaya;Samarkandskaya;40
Stavropolskaya;Samarkandskaya;29
Terskaya;Samarkandskaya;66
Tiflisskaya;Samarkandskaya;92
Cernomorskaya;Samarkandskaya;4
Erevanskaya;Samarkandskaya;20
Amurskaya;Samarkandskaya;4
Eniseiskaya;Samarkandskaya;8
Zabaikalskaya;Samarkandskaya;7
Irkutskaya;Samarkandskaya;12
Primorskaya;Samarkandskaya;4
Sakhalin;Samarkandskaya;0
Tobolskaya;Samarkandskaya;230
Tomskaya;Samarkandskaya;82
Yakutskaya;Samarkandskaya;1
Akmolinskaya;Samarkandskaya;113
Zakaspiyskaya;Samarkandskaya;106
Semipalatinskaya;Samarkandskaya;38
Semirechenskaya;Samarkandskaya;141
SyrDaryinskaya;Samarkandskaya;928
Turgayskaya;Samarkandskaya;14
Uralskaya;Samarkandskaya;310
Ferganskaya;Samarkandskaya;249
